"Goods Shipped","Gross Weight (t)"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF  ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, (METHYL [2-({[6- (TRIFLUOROMETHYL) PYRIDIN-2-YL] OXY} METHYL) PHENYL]","41.92"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF TRIMETHYL ORTHOFORMATE TRIMETIL-ORTO-FORMIATO","16.76"
"12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID","221.34"
"6 X 20 CONTAINERS CONTAINING 6 FLEXITANK OF CAROMAX 28 METHYLNAPHTHALENE AND POLY CYCLICS","120.08"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF RIMON SUPRA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID NOVALURON","38.64"
"2 X 40 CONTAINERS CONTAINING 80 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH","48.24"
"24 X 20 CONTAINERS CONTAINING 415 IBCS OF ENVIRONMENTALLY HAZA RDOUS SUBSTANCE, LIQUID IMIDACLOPRID, BIFENTHRIN","494.64"
"4 X 20 CONTAINERS CONTAINING 320 DRUMS OF PYRINEX ENVIRONMENTAL LY HAZARDOUS SUBSTANCE, LIQUID CHLORPYRIFOS, HYDROCARBONS AROMATICS NAPHTHALENE","79.84"
"9 X 20 CONTAINERS CONTAINING 720 DRUMS OF PYRINEX ENVIRONMENTALL Y HAZARDOUS SUBSTANCE, LIQUID CHLORPYRIFOS, HYDROCARBONS AROMATICS NAPHTHALENE","179.64"
"13 X 40 CONTAINERS CONTAINING 52416 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","290.52"
"1 X 40 CONTAINERS CONTAINING 5256 PACKAGES OF BANZAI ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID DIMETHOMORPH","15.16"
"5 X 20 CONTAINERS CONTAINING 100 PACKAGES OF TEBUCONAZOL TECNICO ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID TEBUCONAZO LE","52.35"
"2 X 20 CONTAINERS CONTAINING 36 BINS OF ALTAPYNE M-28B TALL OIL, OTHER THAN CRUDE","34.75"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES","24.58"
"1 X 20 & 2 X 40 CONTAINERS CONTAINING 70 IBCS OF CAPTAN MKL TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S. CAPTAN","45.4"
"2 X 20 CONTAINERS CONTAINING 40 IBCS OF CAPTAN MKT TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID CAPTAN","25.94"
"11 X 20 CONTAINERS CONTAINING 198 IBCS OF GALIL SC ENVIRONMENTALLY HAZARDO US SUBSTANCE, LIQUID N.O.S IMIDACLOPRID, BIFENTHRIN","226.71"
"7 X 20 CONTAINERS CONTAINING 140 BAGS OF GLYPHOSATE 95% TC GLIFOSATO ACIDO TECNICO MILENIA","126.42"
"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF CHEMICAL PRODUCT DMAC N N DIMETHYLACETAMIDE N N DIMETILACETAMIDA","49.02"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF N-METHYLFORMAMIDE MONOMETILFORMAMIDA MONOMETILFOR MAMIDA N- METHYLFORMAMIDE","16.84"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF ENVIRONMENTALLY HAZARDOU S SUBSTANCE, LIQUID, N.O.S METHYL 2 6 TRIFLUOROMETHYL PYRIDIN 2-YL OXY METHYL PHENYL ACETATE","20.96"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DANGEROUS LIQUIDS 3.4-DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES","23.83"
"3 X 20 & 1 X 20 & 1 X 20 CONTAINERS CONTAINING 5 TANK OF CAROMAX 28","100.14"
"10 X 20 CONTAINERS CONTAINING 200 BAGS OF 4-D ACID","184.3"
"7 X 20 CONTAINERS CONTAINING 140 BAGS OF 4-D ACID","129.12"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DICLOROFENIL ISOCIANATO DICHLOROPHENYL ISOCYANATES","23.74"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF AFALON SC AGRICULTURAL HERBICIDE","20.09"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF AFALON SC AGRICULTURAL HERBICIDE","20.09"
"8 X 20 CONTAINERS CONTAINING 160 BAGS OF GLYPHOSATE 95% TC GLIFOSATO ACIDO TECNICO MILENIA","144.48"
"4 X 20 CONTAINERS CONTAINING 80 BAGS OF GLYPHOSATE 95% TC GLIFOSATO ACIDO TECNICO MILENIA","72.24"
"4 X 20 CONTAINERS CONTAINING 4 PACKAGES OF AQUEOUS SOLUTION NODIMETHYLAMINE","73.7"
"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF CHEMICAL PRODUCT SODIUM METHYLATE 30% METILATO DE SODIO A 30%","53.41"
"4 X 20 CONTAINERS CONTAINING 80 BAGS OF GLYPHOSATE 95% TC (GLIFOSATO ACIDO TECNICO MILENIA)","72.24"
"1 X 40 CONTAINERS CONTAINING 4032 BAGS OF JUMP AGRICULTURAL HERBICIDE","22.35"
"1 X 20 CONTAINERS CONTAINING 320 DRUMS OF BIFENTRINA TECNICO MILENIA PYR ETHROID PESTICIDE, SOLID, TOXIC BIFENTHRIN","9.36"
"1 X 20 CONTAINERS CONTAINING 320 DRUMS OF BIFENTRINA TECNICO MILENIA PYR ETH ROID PESTICIDE, SOLID, TOXIC BIFENTHRIN","9.36"
"3 X 20 CONTAINERS CONTAINING 60 PACKAGES OF TEBUCONAZOL TECNICO ADAMA TEBUCONAZOL E","31.41"
"11 X 20 CONTAINERS CONTAINING 198 IBCS OF IMIDACLOPRID, BIFENTHRIN","226.71"
"12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID","221.56"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DANGEROUS LIQUIDS DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES","23.97"
"2 X 40 CONTAINERS CONTAINING 1800 BOXES OF TEBUTHIURON 500 G,L SC","44.28"
"2 X 40 CONTAINERS CONTAINING 1800 BOXES OF TEBUTHIURON 500 G,L SC","44.28"
"10 X 20 CONTAINERS CONTAINING 200 BAGS OF ACID TECHN ACIDO TECNICO MILENIA BR","185.7"
"1 X 40 CONTAINERS CONTAINING 125 DRUMS OF 2,4-XILIDINA 2,4-XYLIDINE","27.69"
"2 X 40 CONTAINERS CONTAINING 8064 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","44.7"
"8 X 40 CONTAINERS CONTAINING 32256 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","178.78"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF CHEMICALS MONOISOPROPYLAMINE - BULK EASTMAN ISOPROPYLAMINE MONOISOPROPILAMINA","14.61"
"4 X 20 CONTAINERS CONTAINING 4 PACKAGES OF DIMETHYLAMINE AQUEOUS SOLUTION","78.2"
"2 X 40 CONTAINERS CONTAINING 1800 BOXES OF TEBUTHIURON 500 G,L SC","44.28"
"1 X 20 CONTAINERS CONTAINING 20 IBCS OF CAPTAN MKT TECNICO MILENI A ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S. CAPTAN","12.97"
"3 X 40 CONTAINERS CONTAINING 12096 BAGS OF JUMP AGRICULTURAL HERBICIDE","67.04"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF METHYL FORMATE PURE","19.74"
"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF CHEMICAL PRODUCT DMAC - N, N-DIMETHYLACETAMIDE N-DIMETILACETAMIDA","49.02"
"1 X 20 CONTAINERS CONTAINING 20 IBCS OF IMIDACLOPRIDE TECNICO MIL ENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID IMIDACLOPR ID","10.47"
"1 X 20 & 1 X 40 CONTAINERS CONTAINING 40 IBCS OF CAPTAN MKT TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S","25.94"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF 16000 LITS RIMON SUPRA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID NOVALURON","38.64"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DMS DI METHYL SULPHATE DIMETIL SULFATO SULFATO DE DIMETILA","25"
"12 X 20 CONTAINERS CONTAINING 216 IBCS OF LITS GALIL SC ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID","247.32"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF 3.4-DICLOROFENILISOCIANATO","25.72"
"2 X 20 CONTAINERS CONTAINING 40 IBCS OF CAPTAN MKT TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID","25.94"
"1 X 20 CONTAINERS CONTAINING 30 IBCS OF CAPTAN MKT TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S","12.97"
"6 X 20 CONTAINERS CONTAINING 6 TANK OF DIMETHYLAMINE 60% DIMETHYLAMINE, AQUEOUS SOLUTION","114.98"
"4 X 40 CONTAINERS CONTAINING 160 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH","96.48"
"5 X 20 CONTAINERS CONTAINING 5 TANK OF CHEMICALS NOS, HAZARDOUS MONOISOPROPYLAMINE - BULK ISOPROPYLAMINE","72.4"
"7 X 20 CONTAINERS CONTAINING 7 TANK OF CHEMICALS NOS, HAZARDOUS MONOISOPROPYLAMINE BULK ISOPROPYLAMINE","101.37"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF N-DIMETHYLACETAMIDE","16.34"
"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF CHEMICAL PRODUCT DMAC N N DIMETHYLACETAMIDE","49.02"
"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF 16000 LITS VORAZ CARBAMATE PESTICIDE LIQ UID,TOXIC METHOMYL, NOVALURON","59.4"
"9 X 20 CONTAINERS CONTAINING 720 DRUMS OF PYRINEX 480 EC ENVIRONMENTALL Y HAZARDOUS SUBSTANCE, LIQUID CHLORPYRIFOS, HYDROCARBONS AROMATICS 1% NAPHTHALENE","179.64"
"4 X 40 CONTAINERS CONTAINING 140 IBCS OF TEBUCONAZOL TECNICO ADAMA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID TEBUCONAZOL E","73.29"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF AGRICULTURAL HERBICIDE","35.24"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF METHYL FORMATE PURE","20.7"
"1 X 20 CONTAINERS CONTAINING 1 FLEXITANK OF   DIMETHYL SULPHATE DIMETIL SULFATO","25"
"1 X 20 & 2 X 40 CONTAINERS CONTAINING 80 IBCS OF ORTHOCIDE TECH MICRONIZADO ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S","51.88"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF DRUM 200 LT LITS VORAZ CARBAMATE PESTICIDE LI QUID,TOXIC METHOMYL, NOVALURON","39.6"
"1 X 40 CONTAINERS CONTAINING 80 DRUMS OF SUPRATHION TECNICO 900 ORGA NOPHOPHORUS PESTICIDE, SOLID, TOXIC METHIDATHION","19.36"
"11 X 20 CONTAINERS CONTAINING 220 BAGS OF 4-D ACID","203.68"
"22 X 20 CONTAINERS CONTAINING 396 IBCS OF IMIDACLOPRID, BIFENTHRIN","453.42"
"1 X 20 CONTAINERS CONTAINING 58 DRUMS OF ETHYLAN NS-500LQ 460 LB TH DR","13.09"
"2 X 40 CONTAINERS CONTAINING 80 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH","48.24"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DIMETHYLAMINE 60% ISO TANK DMA0003-K40F","19.04"
"12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID","222.36"
"12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID","222.34"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF CARBAMATE PESTICIDE LIQUID,TOXIC METHOMYL, NOVALURON","39.6"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF CARBAMATE PESTICIDE LIQUID,TOXIC METHOMYL, NOVALURON","19.8"
"11 X 40 CONTAINERS CONTAINING 44352 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","245.83"
"1 X 40 CONTAINERS CONTAINING 30 IBCS OF FOLPET AGRICUR TECNICO","15.7"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DI METHYL SULPHATE DIMETIL SULFATO SULFATO DE DIMETILA","25"
"9 X 20 CONTAINERS CONTAINING 9 TANK OF DIMETHYLAMINE 60% DIMETHYLAMINE AQUEOUS SOLUTION","162.98"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF CARBAMATE PESTICIDE LIQUID TOXIC METHOMYL NOVALURON","19.8"
"1 X 40 CONTAINERS CONTAINING 80 DRUMS OF SUPRATHION TECH PURCH ANOPHOPHORUS PESTICIDE SOLID TOXIC METHIDATHION","13.4"
"9 X 20 CONTAINERS CONTAINING 9 TANK OF MONOISOPROPYLAMINE ISOPROPYLAMINE","132.64"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF MONOISOPROPYLAMINE ISOPROPYLAMINE","14.93"
"12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID TECHN ,4-D ACIDO TECNICO MILENIA","222.18"
"3 X 20 CONTAINERS CONTAINING 60 BAGS OF 4-D ACID TECHN 4-D ACIDO TECNICO MILENIA","55.64"
"6 X 40 CONTAINERS CONTAINING 24192 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","134.09"
"1 X 20 CONTAINERS CONTAINING 18 BINS OF ALTAPYNE M-28B TALL OIL, OTHER THAN CRUDE MEETS ISPM 15 STANDARD","17.38"
"4 X 40 CONTAINERS CONTAINING 16128 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","89.39"
"2 X 40 CONTAINERS CONTAINING 160 DRUMS OF SUPRATHION TECNICO ORGANOP HOPHORUS PESTICIDE SOLID TOXIC METHIDATHION","26.8"
"1 X 20 CONTAINERS CONTAINING 18 IBCS OF FIPRONIL TECNICO MILENIA PESTIC IDE SOLID TOXIC FIPRONIL","9.42"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - FORMIC ACID, ITS SALTS AND ESTERS  - ESTERS  OF FORMIC ACID","19.78"
"2 X 20 CONTAINERS CONTAINING 2 TANK OF DIMETHYLAMINE, AQUEOUS SOLUTION DIMETHYLAMINE","38.06"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF DI METHYL SULPHATE DIMETIL SULFATO(SULFATO DE DIMETILA)","25"
"6 X 20 CONTAINERS CONTAINING 120 BAGS OF 4-D ACID TECHN 4-D ACIDO TECNICO MILENIA","111.18"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF METHYL FORMATE PURE","19.76"
"1 X 40 CONTAINERS CONTAINING 80 DRUMS OF SUPRATHION TECNICO 900) ORGANOP HOP HORUS, PESTICIDE, SOLID, TOXIC METHIDATHION","19.36"
"1 X 20 CONTAINERS CONTAINING 6000 BOTTLE OF IMITZ EC FL UENSULFO NE","8.59"
"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF PYRINEX 480 CHLORPYRIFOS, HYDROCARBONS C10, AROMATICS, 1% NAPHTHALENE","59.88"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF GALIGAN 240 EC AGRICULTURAL HERBIC IDE","17.62"
"3 X 40 CONTAINERS CONTAINING 12096 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","67.04"
"1 X 40 CONTAINERS CONTAINING 4032 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","22.35"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF PYRINEX 480 EC CHLORPYRIFOS, HYDROCARBONS, C10 AROMATICS 1% NAPHTHALENE","19.96"
"4 X 20 CONTAINERS CONTAINING 80 BAGS OF 2,4-D ACID 4-D ACIDO TECNICO MILENIA","74.38"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF N-METHYLFORMAMIDE MONOMETILFORMAMIDA","16.84"
"1 X 20 & 1 X 20 CONTAINERS CONTAINING 2 TANK OF CHEMICALS NOS HAZARDOUS DMA 60% DIMETHYLAMINE AQUEOUS SOLUTION","38.02"
"2 X 40 CONTAINERS CONTAINING 80 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH","48.24"
"5 X 20 CONTAINERS CONTAINING 400 DRUMS OF PYRINEX 480 CHLORPYRIFOS, HYDROCARBONS, C10 AROMATICS % NAPHTHALENE","99.8"
"5 X 40 CONTAINERS CONTAINING 20160 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","111.74"
"1 X 20 CONTAINERS CONTAINING 1 TANK OF CHLORPYRIFOS, HYDROCARBONS ARO MATICS 1% NAPHTHALENE","25.98"
"2 X 40 CONTAINERS CONTAINING 160 DRUMS OF SUPRATHION TECNICO ORGANOP HOPHORUS, PESTICIDE, SOLID, TOXIC METHIDATHION","38.72"
"15 X 20 CONTAINERS CONTAINING 270 IBCS OF GALIL SC IMIDACLOPRID BIFENTHRIN","309.15"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF PYRINEX 480 CHLORPYRIFOS, HYDROCARBONS C10, A ROMATICS 1% NAPHTHALENE LLUTANT","39.92"
"1 X 40 CONTAINERS CONTAINING 80 DRUMS OF SUPRATHION TECNICO ORGANOP HOP HORUS, PESTICIDE, SOLID, TOXIC METHIDATHION","13.4"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF XYLIDINE","17.72"
"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF M-325 ENVIRONMENTALLY HAZARDO US SUBSTANCE, SOLID, N.O.S METHYL 2 6 TRIFLUOROMETHY PYRIDIN 2-YL OXY METHYL PHENYL ACETATE","62.88"
"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF ENVIRONMENTALLY HAZARDO US SUBSTANCE, SOLID, N.O.S METHYL 2 6 TRIFLUOROMETHY L PYRID IN-2-YL OXY METHYL PHENYL ACETATE","62.88"
"1 X 20 & 1 X 20 CONTAINERS CONTAINING 2 TANK OF DIMETHYLAMINE, AQUEOUS SOLUTION DIMETHYLAMINE","37.79"
"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF AFALON SC AGRICULTURAL HERBICIDE","20.09"
"4 X 20 CONTAINERS CONTAINING 320 DRUMS OF CARBAMATE PESTICIDE,LIQUID,TOXIC METHOMYL, NOVALURON","79.2"
"8 X 40 CONTAINERS CONTAINING 32256 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","178.78"
"7 X 40 CONTAINERS CONTAINING 28224 BAGS OF JUMP AGRICULTURAL HERBICIDE","156.44"
"2 X 40 CONTAINERS CONTAINING 8064 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE","44.7"
"8 X 40 CONTAINERS CONTAINING 31392 BAGS OF JUMP AGRICULTURAL HERBICIDE","173.99"
"1 X 20 CONTAINERS CONTAINING 18 BINS OF ALTAPYNE M-28B TALL OIL","17.38"
"8 X 20 CONTAINERS CONTAINING 160 BAGS OF 2,4-D ACIDO TECNICO MILENIA BR","148.66"
"3 X 20 & 1 X 20 CONTAINERS CONTAINING 4 TANK OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE CAROMAX 28","80.36"
"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF TRIMETHYL ORTHOFORMATE","33.52"
"1 X 20 CONTAINERS CONTAINING 20 CASE OF CHLOROTHALONIL TECH","10.06"
"2 X 20 CONTAINERS CONTAINING 40 CASE OF CHEMICAL PRODUCT PROPYLENE GLYCOL","42.4"
"1 X 20 CONTAINERS CONTAINING 58 DRUMS OF ETHYLAN NS-500LQ","13.09"
"3 X 20 CONTAINERS CONTAINING 2640 BAGS OF ACIDO FOSFOROSO  98.5% PHOSPHOROUS ACID  CLASS 8","66.53"
"1 X 20 CONTAINERS CONTAINING 1 FLEXITANK OF DANGEROUS LIQUIDS 4-DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES","24.94"
"4 X 20 CONTAINERS CONTAINING 80 BAGS OF 2,4-D ACIDO TECNICO MILENIA BR","74.28"
