HS Code,Goods Shipped
29339959,2 X 40 CONTAINERS CONTAINING 80 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH
38089199,"24 X 20 CONTAINERS CONTAINING 415 IBCS OF ENVIRONMENTALLY HAZA RDOUS SUBSTANCE, LIQUID IMIDACLOPRID, BIFENTHRIN"
38089199,"4 X 20 CONTAINERS CONTAINING 320 DRUMS OF PYRINEX ENVIRONMENTAL LY HAZARDOUS SUBSTANCE, LIQUID CHLORPYRIFOS, HYDROCARBONS AROMATICS NAPHTHALENE"
38089200,"9 X 20 CONTAINERS CONTAINING 720 DRUMS OF PYRINEX ENVIRONMENTALL Y HAZARDOUS SUBSTANCE, LIQUID CHLORPYRIFOS, HYDROCARBONS AROMATICS NAPHTHALENE"
38089323,13 X 40 CONTAINERS CONTAINING 52416 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38089299,"1 X 40 CONTAINERS CONTAINING 5256 PACKAGES OF BANZAI ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID DIMETHOMORPH"
29339969,"5 X 20 CONTAINERS CONTAINING 100 PACKAGES OF TEBUCONAZOL TECNICO ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID TEBUCONAZO LE"
38030090,"2 X 20 CONTAINERS CONTAINING 36 BINS OF ALTAPYNE M-28B TALL OIL, OTHER THAN CRUDE"
29291000,1 X 20 CONTAINERS CONTAINING 1 TANK OF DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES
29309000,"1 X 20 & 2 X 40 CONTAINERS CONTAINING 70 IBCS OF CAPTAN MKL TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S. CAPTAN"
29309091,"2 X 20 CONTAINERS CONTAINING 40 IBCS OF CAPTAN MKT TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID CAPTAN"
38089199,"11 X 20 CONTAINERS CONTAINING 198 IBCS OF GALIL SC ENVIRONMENTALLY HAZARDO US SUBSTANCE, LIQUID N.O.S IMIDACLOPRID, BIFENTHRIN"
29313912,7 X 20 CONTAINERS CONTAINING 140 BAGS OF GLYPHOSATE 95% TC GLIFOSATO ACIDO TECNICO MILENIA
29241929,3 X 20 CONTAINERS CONTAINING 240 DRUMS OF CHEMICAL PRODUCT DMAC N N DIMETHYLACETAMIDE N N DIMETILACETAMIDA
29241921,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF N-METHYLFORMAMIDE MONOMETILFORMAMIDA MONOMETILFOR MAMIDA N- METHYLFORMAMIDE
29333919,"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF ENVIRONMENTALLY HAZARDOU S SUBSTANCE, LIQUID, N.O.S METHYL 2 6 TRIFLUOROMETHYL PYRIDIN 2-YL OXY METHYL PHENYL ACETATE"
29291030,1 X 20 CONTAINERS CONTAINING 1 TANK OF DANGEROUS LIQUIDS 3.4-DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES
27079900,3 X 20 & 1 X 20 & 1 X 20 CONTAINERS CONTAINING 5 TANK OF CAROMAX 28
29180000,10 X 20 CONTAINERS CONTAINING 200 BAGS OF 4-D ACID
29180000,7 X 20 CONTAINERS CONTAINING 140 BAGS OF 4-D ACID
29291030,1 X 20 CONTAINERS CONTAINING 1 TANK OF DICLOROFENIL ISOCIANATO DICHLOROPHENYL ISOCYANATES
38089329,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF AFALON SC AGRICULTURAL HERBICIDE
38089329,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF AFALON SC AGRICULTURAL HERBICIDE
29313912,8 X 20 CONTAINERS CONTAINING 160 BAGS OF GLYPHOSATE 95% TC GLIFOSATO ACIDO TECNICO MILENIA
29313912,4 X 20 CONTAINERS CONTAINING 80 BAGS OF GLYPHOSATE 95% TC GLIFOSATO ACIDO TECNICO MILENIA
29210000,4 X 20 CONTAINERS CONTAINING 4 PACKAGES OF AQUEOUS SOLUTION NODIMETHYLAMINE
38249985,3 X 20 CONTAINERS CONTAINING 240 DRUMS OF CHEMICAL PRODUCT SODIUM METHYLATE 30% METILATO DE SODIO A 30%
29313912,4 X 20 CONTAINERS CONTAINING 80 BAGS OF GLYPHOSATE 95% TC (GLIFOSATO ACIDO TECNICO MILENIA)
38089323,1 X 40 CONTAINERS CONTAINING 4032 BAGS OF JUMP AGRICULTURAL HERBICIDE
29162015,"1 X 20 CONTAINERS CONTAINING 320 DRUMS OF BIFENTRINA TECNICO MILENIA PYR ETHROID PESTICIDE, SOLID, TOXIC BIFENTHRIN"
29162015,"1 X 20 CONTAINERS CONTAINING 320 DRUMS OF BIFENTRINA TECNICO MILENIA PYR ETH ROID PESTICIDE, SOLID, TOXIC BIFENTHRIN"
29339900,3 X 20 CONTAINERS CONTAINING 60 PACKAGES OF TEBUCONAZOL TECNICO ADAMA TEBUCONAZOL E
38089199,"11 X 20 CONTAINERS CONTAINING 198 IBCS OF IMIDACLOPRID, BIFENTHRIN"
29180000,12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID
29291030,1 X 20 CONTAINERS CONTAINING 1 TANK OF DANGEROUS LIQUIDS DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES
38089329,"2 X 40 CONTAINERS CONTAINING 1800 BOXES OF TEBUTHIURON 500 G,L SC"
38089329,"2 X 40 CONTAINERS CONTAINING 1800 BOXES OF TEBUTHIURON 500 G,L SC"
29180000,10 X 20 CONTAINERS CONTAINING 200 BAGS OF ACID TECHN ACIDO TECNICO MILENIA BR
29214900,"1 X 40 CONTAINERS CONTAINING 125 DRUMS OF 2,4-XILIDINA 2,4-XYLIDINE"
38089323,2 X 40 CONTAINERS CONTAINING 8064 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38089323,8 X 40 CONTAINERS CONTAINING 32256 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
29211923,1 X 20 CONTAINERS CONTAINING 1 TANK OF CHEMICALS MONOISOPROPYLAMINE - BULK EASTMAN ISOPROPYLAMINE MONOISOPROPILAMINA
29210000,4 X 20 CONTAINERS CONTAINING 4 PACKAGES OF DIMETHYLAMINE AQUEOUS SOLUTION
38089329,"2 X 40 CONTAINERS CONTAINING 1800 BOXES OF TEBUTHIURON 500 G,L SC"
29309091,"1 X 20 CONTAINERS CONTAINING 20 IBCS OF CAPTAN MKT TECNICO MILENI A ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S. CAPTAN"
38089323,3 X 40 CONTAINERS CONTAINING 12096 BAGS OF JUMP AGRICULTURAL HERBICIDE
29150000,1 X 20 CONTAINERS CONTAINING 1 TANK OF METHYL FORMATE PURE
29241929,"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF CHEMICAL PRODUCT DMAC - N, N-DIMETHYLACETAMIDE N-DIMETILACETAMIDA"
29333929,"1 X 20 CONTAINERS CONTAINING 20 IBCS OF IMIDACLOPRIDE TECNICO MIL ENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID IMIDACLOPR ID"
29309091,"1 X 20 & 1 X 40 CONTAINERS CONTAINING 40 IBCS OF CAPTAN MKT TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S"
38089199,"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF 16000 LITS RIMON SUPRA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID NOVALURON"
29209049,1 X 20 CONTAINERS CONTAINING 1 TANK OF DMS DI METHYL SULPHATE DIMETIL SULFATO SULFATO DE DIMETILA
38089199,"12 X 20 CONTAINERS CONTAINING 216 IBCS OF LITS GALIL SC ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID"
29291030,1 X 20 CONTAINERS CONTAINING 1 TANK OF 3.4-DICLOROFENILISOCIANATO
29309091,"2 X 20 CONTAINERS CONTAINING 40 IBCS OF CAPTAN MKT TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID"
29309091,"1 X 20 CONTAINERS CONTAINING 30 IBCS OF CAPTAN MKT TECNICO MILENIA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S"
29211121,"6 X 20 CONTAINERS CONTAINING 6 TANK OF DIMETHYLAMINE 60% DIMETHYLAMINE, AQUEOUS SOLUTION"
29339959,4 X 40 CONTAINERS CONTAINING 160 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH
29211923,"5 X 20 CONTAINERS CONTAINING 5 TANK OF CHEMICALS NOS, HAZARDOUS MONOISOPROPYLAMINE - BULK ISOPROPYLAMINE"
29211923,"7 X 20 CONTAINERS CONTAINING 7 TANK OF CHEMICALS NOS, HAZARDOUS MONOISOPROPYLAMINE BULK ISOPROPYLAMINE"
29241929,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF N-DIMETHYLACETAMIDE
29241929,3 X 20 CONTAINERS CONTAINING 240 DRUMS OF CHEMICAL PRODUCT DMAC N N DIMETHYLACETAMIDE
38089199,"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF 16000 LITS VORAZ CARBAMATE PESTICIDE LIQ UID,TOXIC METHOMYL, NOVALURON"
38089200,"9 X 20 CONTAINERS CONTAINING 720 DRUMS OF PYRINEX 480 EC ENVIRONMENTALL Y HAZARDOUS SUBSTANCE, LIQUID CHLORPYRIFOS, HYDROCARBONS AROMATICS 1% NAPHTHALENE"
29339900,"4 X 40 CONTAINERS CONTAINING 140 IBCS OF TEBUCONAZOL TECNICO ADAMA ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID TEBUCONAZOL E"
38089329,2 X 20 CONTAINERS CONTAINING 160 DRUMS OF AGRICULTURAL HERBICIDE
29150000,1 X 20 CONTAINERS CONTAINING 1 TANK OF METHYL FORMATE PURE
29209049,1 X 20 CONTAINERS CONTAINING 1 FLEXITANK OF   DIMETHYL SULPHATE DIMETIL SULFATO
29309000,"1 X 20 & 2 X 40 CONTAINERS CONTAINING 80 IBCS OF ORTHOCIDE TECH MICRONIZADO ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID N.O.S"
38089199,"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF DRUM 200 LT LITS VORAZ CARBAMATE PESTICIDE LI QUID,TOXIC METHOMYL, NOVALURON"
29349959,"1 X 40 CONTAINERS CONTAINING 80 DRUMS OF SUPRATHION TECNICO 900 ORGA NOPHOPHORUS PESTICIDE, SOLID, TOXIC METHIDATHION"
29180000,11 X 20 CONTAINERS CONTAINING 220 BAGS OF 4-D ACID
38089199,"22 X 20 CONTAINERS CONTAINING 396 IBCS OF IMIDACLOPRID, BIFENTHRIN"
34021300,1 X 20 CONTAINERS CONTAINING 58 DRUMS OF ETHYLAN NS-500LQ 460 LB TH DR
29339959,2 X 40 CONTAINERS CONTAINING 80 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH
29211121,1 X 20 CONTAINERS CONTAINING 1 TANK OF DIMETHYLAMINE 60% ISO TANK DMA0003-K40F
29180000,12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID
29180000,12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID
38089199,"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF CARBAMATE PESTICIDE LIQUID,TOXIC METHOMYL, NOVALURON"
38089199,"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF CARBAMATE PESTICIDE LIQUID,TOXIC METHOMYL, NOVALURON"
38089323,11 X 40 CONTAINERS CONTAINING 44352 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
29309099,1 X 40 CONTAINERS CONTAINING 30 IBCS OF FOLPET AGRICUR TECNICO
29209049,1 X 20 CONTAINERS CONTAINING 1 TANK OF DI METHYL SULPHATE DIMETIL SULFATO SULFATO DE DIMETILA
29211121,9 X 20 CONTAINERS CONTAINING 9 TANK OF DIMETHYLAMINE 60% DIMETHYLAMINE AQUEOUS SOLUTION
38089199,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF CARBAMATE PESTICIDE LIQUID TOXIC METHOMYL NOVALURON
29349900,1 X 40 CONTAINERS CONTAINING 80 DRUMS OF SUPRATHION TECH PURCH ANOPHOPHORUS PESTICIDE SOLID TOXIC METHIDATHION
29211923,9 X 20 CONTAINERS CONTAINING 9 TANK OF MONOISOPROPYLAMINE ISOPROPYLAMINE
29211923,1 X 20 CONTAINERS CONTAINING 1 TANK OF MONOISOPROPYLAMINE ISOPROPYLAMINE
29180000,"12 X 20 CONTAINERS CONTAINING 240 BAGS OF 4-D ACID TECHN ,4-D ACIDO TECNICO MILENIA"
29180000,3 X 20 CONTAINERS CONTAINING 60 BAGS OF 4-D ACID TECHN 4-D ACIDO TECNICO MILENIA
38089323,6 X 40 CONTAINERS CONTAINING 24192 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38030000,"1 X 20 CONTAINERS CONTAINING 18 BINS OF ALTAPYNE M-28B TALL OIL, OTHER THAN CRUDE MEETS ISPM 15 STANDARD"
38089323,4 X 40 CONTAINERS CONTAINING 16128 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
29349959,2 X 40 CONTAINERS CONTAINING 160 DRUMS OF SUPRATHION TECNICO ORGANOP HOPHORUS PESTICIDE SOLID TOXIC METHIDATHION
29331900,1 X 20 CONTAINERS CONTAINING 18 IBCS OF FIPRONIL TECNICO MILENIA PESTIC IDE SOLID TOXIC FIPRONIL
29151300,"1 X 20 CONTAINERS CONTAINING 1 TANK OF SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATED DERIVATIVES - FORMIC ACID, ITS SALTS AND ESTERS  - ESTERS  OF FORMIC ACID"
29211121,"2 X 20 CONTAINERS CONTAINING 2 TANK OF DIMETHYLAMINE, AQUEOUS SOLUTION DIMETHYLAMINE"
29209049,1 X 20 CONTAINERS CONTAINING 1 TANK OF DI METHYL SULPHATE DIMETIL SULFATO(SULFATO DE DIMETILA)
29180000,6 X 20 CONTAINERS CONTAINING 120 BAGS OF 4-D ACID TECHN 4-D ACIDO TECNICO MILENIA
29150000,1 X 20 CONTAINERS CONTAINING 1 TANK OF METHYL FORMATE PURE
29349959,"1 X 40 CONTAINERS CONTAINING 80 DRUMS OF SUPRATHION TECNICO 900) ORGANOP HOP HORUS, PESTICIDE, SOLID, TOXIC METHIDATHION"
38089995,1 X 20 CONTAINERS CONTAINING 6000 BOTTLE OF IMITZ EC FL UENSULFO NE
38089199,"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF PYRINEX 480 CHLORPYRIFOS, HYDROCARBONS C10, AROMATICS, 1% NAPHTHALENE"
38089329,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF GALIGAN 240 EC AGRICULTURAL HERBIC IDE
38089323,3 X 40 CONTAINERS CONTAINING 12096 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38089323,1 X 40 CONTAINERS CONTAINING 4032 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38089200,"1 X 20 CONTAINERS CONTAINING 80 DRUMS OF PYRINEX 480 EC CHLORPYRIFOS, HYDROCARBONS, C10 AROMATICS 1% NAPHTHALENE"
29180000,"4 X 20 CONTAINERS CONTAINING 80 BAGS OF 2,4-D ACID 4-D ACIDO TECNICO MILENIA"
29241921,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF N-METHYLFORMAMIDE MONOMETILFORMAMIDA
29211121,1 X 20 & 1 X 20 CONTAINERS CONTAINING 2 TANK OF CHEMICALS NOS HAZARDOUS DMA 60% DIMETHYLAMINE AQUEOUS SOLUTION
29339959,2 X 40 CONTAINERS CONTAINING 80 BAGS OF CARBENDAZIM TECNICO MIL CARBENDAZIM 98% TECH
38089200,"5 X 20 CONTAINERS CONTAINING 400 DRUMS OF PYRINEX 480 CHLORPYRIFOS, HYDROCARBONS, C10 AROMATICS % NAPHTHALENE"
38089323,5 X 40 CONTAINERS CONTAINING 20160 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38089199,"1 X 20 CONTAINERS CONTAINING 1 TANK OF CHLORPYRIFOS, HYDROCARBONS ARO MATICS 1% NAPHTHALENE"
29349959,"2 X 40 CONTAINERS CONTAINING 160 DRUMS OF SUPRATHION TECNICO ORGANOP HOPHORUS, PESTICIDE, SOLID, TOXIC METHIDATHION"
38089199,15 X 20 CONTAINERS CONTAINING 270 IBCS OF GALIL SC IMIDACLOPRID BIFENTHRIN
38089199,"2 X 20 CONTAINERS CONTAINING 160 DRUMS OF PYRINEX 480 CHLORPYRIFOS, HYDROCARBONS C10, A ROMATICS 1% NAPHTHALENE LLUTANT"
29349959,"1 X 40 CONTAINERS CONTAINING 80 DRUMS OF SUPRATHION TECNICO ORGANOP HOP HORUS, PESTICIDE, SOLID, TOXIC METHIDATHION"
29214921,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF XYLIDINE
29333919,"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF M-325 ENVIRONMENTALLY HAZARDO US SUBSTANCE, SOLID, N.O.S METHYL 2 6 TRIFLUOROMETHY PYRIDIN 2-YL OXY METHYL PHENYL ACETATE"
29333919,"3 X 20 CONTAINERS CONTAINING 240 DRUMS OF ENVIRONMENTALLY HAZARDO US SUBSTANCE, SOLID, N.O.S METHYL 2 6 TRIFLUOROMETHY L PYRID IN-2-YL OXY METHYL PHENYL ACETATE"
29211121,"1 X 20 & 1 X 20 CONTAINERS CONTAINING 2 TANK OF DIMETHYLAMINE, AQUEOUS SOLUTION DIMETHYLAMINE"
38089329,1 X 20 CONTAINERS CONTAINING 80 DRUMS OF AFALON SC AGRICULTURAL HERBICIDE
38089199,"4 X 20 CONTAINERS CONTAINING 320 DRUMS OF CARBAMATE PESTICIDE,LIQUID,TOXIC METHOMYL, NOVALURON"
38089323,8 X 40 CONTAINERS CONTAINING 32256 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38089323,7 X 40 CONTAINERS CONTAINING 28224 BAGS OF JUMP AGRICULTURAL HERBICIDE
38089323,2 X 40 CONTAINERS CONTAINING 8064 BAGS OF HEXARON WG AGRICULTURAL HERBICIDE
38089323,8 X 40 CONTAINERS CONTAINING 31392 BAGS OF JUMP AGRICULTURAL HERBICIDE
38030000,1 X 20 CONTAINERS CONTAINING 18 BINS OF ALTAPYNE M-28B TALL OIL
29180000,"8 X 20 CONTAINERS CONTAINING 160 BAGS OF 2,4-D ACIDO TECNICO MILENIA BR"
27079900,3 X 20 & 1 X 20 CONTAINERS CONTAINING 4 TANK OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE CAROMAX 28
29159090,2 X 20 CONTAINERS CONTAINING 160 DRUMS OF TRIMETHYL ORTHOFORMATE
29269095,1 X 20 CONTAINERS CONTAINING 20 CASE OF CHLOROTHALONIL TECH
29053200,2 X 20 CONTAINERS CONTAINING 40 CASE OF CHEMICAL PRODUCT PROPYLENE GLYCOL
34021300,1 X 20 CONTAINERS CONTAINING 58 DRUMS OF ETHYLAN NS-500LQ
28111920,3 X 20 CONTAINERS CONTAINING 2640 BAGS OF ACIDO FOSFOROSO  98.5% PHOSPHOROUS ACID  CLASS 8
29291030,1 X 20 CONTAINERS CONTAINING 1 FLEXITANK OF DANGEROUS LIQUIDS 4-DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES
29180000,"4 X 20 CONTAINERS CONTAINING 80 BAGS OF 2,4-D ACIDO TECNICO MILENIA BR"
29291000,1 X 20 CONTAINERS CONTAINING 1 FLEXITANK OF DANGEROUS LIQUIDS 4-DICLOROFENILISOCIANATO DICHLOROPHENYL ISOCYANATES
38089990,"1 X 20 CONTAINERS CONTAINING 2400 CANS OF ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID FLUENSULFON"
38089329,2 X 20 CONTAINERS CONTAINING 160 DRUMS OF GALIGAN 240 EC AGRICULTURAL HERBI CIDE
